#Lam(nm)  R%(0-100)  T%(0-100)
3883.611  27.647  71.871  
3895.549  29.327  70.211  
3907.487  31.065  68.493  
3919.426  32.838  66.739  
3931.364  34.621  64.976  
3943.302  36.396  63.219  
3955.241  38.149  61.479  
3967.179  39.867  59.773  
3979.117  41.539  58.113  
3991.056  43.154  56.509  
4002.994  44.710  54.964  
4014.932  46.196  53.488  
4026.871  47.620  52.075  
4038.809  48.976  50.728  
4050.747  50.270  49.444  
4062.686  51.505  48.218  
4074.624  52.678  47.053  
4086.562  53.788  45.951  
4098.501  54.840  44.907  
4110.439  55.836  43.919  
4122.377  56.776  42.984  
4134.316  57.662  42.103  
4146.254  58.498  41.271  
4158.192  59.284  40.490  
4170.131  60.020  39.757  
4182.069  60.712  39.068  
4194.008  61.362  38.422  
4205.946  61.973  37.814  
4217.884  62.547  37.242  
4229.823  63.085  36.705  
4241.761  63.586  36.205  
4253.699  64.052  35.741  
4265.638  64.483  35.311  
4277.576  64.880  34.915  
4289.514  65.246  34.549  
4301.453  65.584  34.212  
4313.391  65.893  33.904  
4325.329  66.175  33.622  
4337.268  66.431  33.366  
4349.206  66.660  33.136  
4361.144  66.865  32.932  
4373.083  67.046  32.750  
4385.021  67.204  32.590  
4396.959  67.338  32.451  
4408.898  67.448  32.334  
4420.836  67.536  32.239  
4432.774  67.603  32.166  
4444.713  67.650  32.117  
4456.651  67.676  32.089  
4468.589  67.681  32.081  
4480.528  67.667  32.093  
4492.466  67.633  32.124  
4504.405  67.579  32.176  
4516.343  67.504  32.248  
4528.281  67.406  32.340  
4540.220  67.288  32.450  
4552.158  67.154  32.577  
4564.096  67.002  32.722  
4576.035  66.829  32.887  
4587.973  66.635  33.073  
4599.911  66.422  33.279  
4611.850  66.192  33.501  
4623.788  65.944  33.742  
4635.726  65.677  34.002  
4647.665  65.387  34.284  
4659.603  65.077  34.586  
4671.541  64.751  34.904  
4683.480  64.406  35.239  
4695.418  64.043  35.592  
4707.356  63.654  35.966  
4719.295  63.243  36.363  
4731.233  62.812  36.779  
4743.171  62.362  37.214  
4755.110  61.891  37.668  
4767.048  61.402  38.141  
4778.986  60.900  38.625  
4790.925  60.380  39.128  
4802.863  59.841  39.649  
4814.802  59.278  40.192  
4826.740  58.676  40.774  
4838.678  58.039  41.389  
4850.617  57.363  42.043  
4862.555  56.641  42.741  
4874.493  55.934  43.423  
4886.432  55.233  44.096  
4898.370  54.511  44.787  
4910.308  53.754  45.512  
4922.247  52.957  46.270  
4934.185  52.103  47.082  
4946.123  51.224  47.917  
4958.062  50.367  48.732  
4970.000  49.505  49.551  
